cuisine_type,business_id,name,address,coordinates/latitude,coordinates/longitude,num_reviews,rating,zipcode
Italy Cuisine,z5-TEI72RVwwtWG4CEggLw,Lunella Ristorante Italiano,173 Mulberry St,40.720108,-73.997215,214,3.5,10013
Italy Cuisine,yIFI6afTRP-tBhY6WsUOPg,Popina,127 Columbia St,40.687361962701,-74.0014251909241,49,4.5,11231
Italy Cuisine,-hUvO0C0A-pGZdiSKvjoFw,Babbo,110 Waverly Pl,40.732283,-73.999284,2373,4,10011
Italy Cuisine,d5ya04K-2A_hI3Xzqe1HeA,Caffe Buon Gusto,236 E 77th St,40.77249,-73.95713,437,4,10075
Italy Cuisine,TzVVPWK_4dhdSEpNqZwIhQ,Toscana 49,143 East 49 St,40.7556957079225,-73.9717184007168,220,4,10017
Italy Cuisine,fuS39acPaRi38DhSSwEI4Q,Felice,15 Gold St,40.70789,-74.00712,335,4,10038
Italy Cuisine,XHhRAKq6DArQXYhkgvwaow,Spaghetti Incident,231 Eldridge St,40.7223153441439,-73.9899454318763,561,4,10002
Italy Cuisine,MOwB9YYd-Ko6nVgSB-ltQw,Briciola,370 W 51st St,40.7637997047278,-73.9880919456482,795,4,10019
Italy Cuisine,R3gSQGB3aEmVpwbKIgOPqg,Fabio Cucina Italiana,214 E 52nd St,40.75667,-73.96912,285,4.5,10022
Italy Cuisine,BeE1tVTCmorm31fwXvX7Wg,Ora di Pasta,1 W 59th St,40.7644615,-73.9738617,178,4,10019
Italy Cuisine,0UIUQWmwf_yxyygLXPQ0Hw,Mimmo Cucina Italiana,1690 York Ave,40.77764,-73.94565,70,4,10128
Italy Cuisine,4YWAdkX4To7SGTRo-A_Wsw,Nonna Beppa Soho,290 Hudson St,40.72564,-74.00713,65,4.5,10013
Italy Cuisine,OwDRIugcA4LkUuTRqpJsog,Naked Dog,47 Java St,40.7312720665479,-73.9593493647979,188,4.5,11222
Italy Cuisine,twHJyFgUSd7wzioKQjE7Jw,Galli,45 Mercer St,40.72161,-74.00127,889,4,10013
Italy Cuisine,HiNUBUR1hFwScd_OvVLQAg,La Pecora Bianca,1133 Broadway,40.74358,-73.9892,516,4,10010
Italy Cuisine,5MpWHGQ6Qc-M4q1KL_nioA,Bar B,84 7th Ave,40.7395804,-73.999118,171,4.5,10011
Italy Cuisine,tsvElYYtUBAEdfK6plnxlg,Villa Mosconi,69 Macdougal St,40.72859,-74.002,189,4,10012
Italy Cuisine,Yubu48l7he-qrNDSeAngbQ,Via Vai,31-09 23rd Ave,40.7741502,-73.9123089,203,4,11105
Italy Cuisine,os09iVkYkzIg9G1xEIepiA,Momofuku Nishi,232 8th Ave,40.7443479,-73.9988054,568,4,10011
Italy Cuisine,PajKY49h4SpvSr-TW3lwCQ,Rafele Ristorante,29 7th Ave S,40.7309471231405,-74.0041171779098,458,4,10014
Italy Cuisine,dc3hkLkAqCSxDWQzrx-g9A,Quality Italian,57 W 57th St,40.7644044527436,-73.9767805051616,1027,4,10019
Italy Cuisine,b6jOwyX4iaagw8YjXqq1sA,Antonio's Trattoria,2370 Belmont Ave,40.854131,-73.886601,743,4.5,10458
Italy Cuisine,mTWlEiCUEBlxBAkIikkB1A,Carmine's Italian Restaurant - Upper West Side,2450 Broadway,40.791077,-73.973763,1293,4,10024
Italy Cuisine,eWMuXtaBzf0H5u0Vf_zpjw,Ciccio,190 6th Ave,40.7263263267119,-74.0034471165676,277,4,10013
Italy Cuisine,EL5Y6BSinmUte5VW4Eh54Q,Frank,88 2nd Ave,40.7268483205383,-73.9887172038649,673,3.5,10003
Italy Cuisine,dvkQIG20RjgNi-SwRr_1CQ,MAMO Restaurant,323 W Broadway,40.72186,-74.00382,241,4,10013
Italy Cuisine,x61Sizu7lqGPMGuKEGHo-Q,Senso Unico,43-04 47th Ave,40.7414137015591,-73.9216857927781,57,4.5,11104
Italy Cuisine,CAGAWbPE8uPr2VVvEnv0ZA,Ribalta Pizza,48 E 12th St,40.7334346,-73.9916923,536,4,10003
Italy Cuisine,19zArMBG2qW2k16Y0i2aBA,Obicà Mozzarella Bar Pizza e Cucina,928 Broadway,40.7400486,-73.9893018,426,3.5,10010
Italy Cuisine,G-op2xLJqocfg1AwJNge8Q,Il Piccolo Bufalo,141 Mulberry St,40.71883,-73.99781,241,3.5,10013
Italy Cuisine,VqnPcfqYltgxAkIuTaGkYg,Tre,173 Ludlow St,40.72184,-73.987714,461,4,10002
Italy Cuisine,0zxGc7hit7mFSk2o1PvIdQ,Umberto's Clam House,132 Mulberry St,40.718702,-73.9976166,416,2.5,10013
Italy Cuisine,yi6jIxzHo-nbAOG4KWuqcw,Maialino,2 Lexington Ave,40.738437,-73.985686,1353,4,10010
Italy Cuisine,7Oq1UdUHUGZGH_QI6N-0LQ,Hearth,403 E 12th St,40.730006,-73.983225,705,4,10009
Italy Cuisine,gGkkzrcHh1xS-S55OsuKsw,Santina,820 Washington St,40.739618,-74.008443,638,3.5,10014
Italy Cuisine,rpVX-o82EEOX8ZDnM28a_Q,Bistango,145 E 50th St,40.75628,-73.97144,258,4,10022
Italy Cuisine,0ROpM3UcZhprN6dhwK2Hsw,Joe & Pat's Pizzeria,168 1st Ave,40.72892,-73.98411,138,4,10009
Italy Cuisine,uDJw4dQiySoNCBoUalW1Ww,Lincoln Ristorante,142 W 65th St,40.773359006218,-73.9835011005249,558,4,10023
